,메뉴명,설명
890,오뎅,"한국에서는?길거리 음식의 대표주자 중 하나이며?떡볶이,?순대,?튀김?등과 경쟁과 협동을 함께 하는 숙명적 라이벌 관계이다"
891,오뎅,저렴하고 맛있는 술안주로 유명하기 때문에 한국에서는 주로 길거리 음식으로 많이 먹는다
892,오뎅,"냄비에 뜨거운 국물을 넣고 여기에?어묵과?곤약,?무,?쇠고기?힘줄살(스지),?유부, 그 외 각종 해산물과 야채 등을 담가 끓여 먹는?일본 요리?중에서도 특히?나베 요리(鍋料理)의 일종이다"
893,오리고기,훈제?오리는 오리를 훈연한 것으로 기름기가 많이 빠져 담백하고 쫄깃한 맛이 있다
894,오리고기,국내에서 소비되는 가금류 고기 중 판매량 2위에 해당되며 지속적으로 소비가 늘고 있다
895,오리고기,"국내에서 주로 접할 수 있는 요리는 오리 탕, 훈제 오리, 오리 수육, 오리 진흙구이, 오리 불고기, 오리 로스가 있다"
896,오리고기,맛도 건강도 챙기는 음식
897,오리고기,몸보신이 좋은 음식
898,오리고기,머스타드에 찍어먹어요
899,오리고기,오리 로스는 우리가 흔히 아는 오리고기를?삼겹살 구이처럼 구워먹는다
900,오리고기,이것를 이용한 국물 음식의 대표격으로는 오리탕이 있다
901,오므라이스,"모양새는 양쪽이 꽤 달라서, 홋쿄쿠세이의 오므라이스가 일반적으로 알고 있는 볶음밥을 달걀로 감싼 모양이라면, 렌가테이의 경우엔 볶음밥 겉에 직접 계란이 코팅되어 있는 모양이다"
902,오므라이스,"정석으로는 볶음밥이지만, 그냥 흰 쌀밥을 사용하기도 한다"
903,오므라이스,프랑스의 계란 요리인 오믈렛 안에 밥을 넣어 만든 요리
904,오므라이스,간단하면서 맛잇는 아는 맛
905,오므라이스,일본식 오므라이스는 보는 맛도 있어요
906,오므라이스,남녀노소 누구나 좋아했던 맛
907,오므라이스,볶음밥 위에 오믈렛을 덮으면 맛있을 것 같다는 발상으로 일본에서 처음 만들어졌다
908,오므라이스,"말 그대로 '계란+밥', 얼핏 보면 계란볶음밥 같은 느낌이다"
909,오므라이스,"푼 달걀을 프라이팬에 부친 후, 반숙 상태일 때 볶음밥을 넣어서 오믈렛처럼 도톰하게 감싸거나, 얇은 달걀을 볶음밥 위에 씌워 얹는다"
910,오므라이스,오믈렛은 일본의 음식이지만 한국에서 김밥천국과 같은 일반음식점에서 판매가 되며 가격은 약 7000원 정도에 형성되어있다
911,오므라이스,"전문적인 영역으로 들어가면 요리사의 실력을 알아보는 데 좋은 오믈렛과 볶음밥이 합쳐진 요리인 만큼, 웬만한 실력 없이는 제대로 만들기 힘든 요리이다"
912,오므라이스,집에서도 간단하게 만들 수 있다.
913,오징어순대,요즈음엔 쪄내는 방식이 아니라 계란옷을 입혀 부쳐내기도 한다
914,오징어순대,속초시영동지방를 대표하는 향토음식
915,오징어순대,오징어의 쫄깃한 식감과 야채의 담백한 맛이 어우러진 별미
916,오징어순대,담백하고 깔끔한 맛이 매력
917,오징어순대,말 그대로 오징어의 몸통에 소를 채워넣고 쪄낸 요리다
918,오징어순대,오징어 속에 갖은 야채 당면 소고기 가루 등을 넣고 쪄내어 대접한 것에서 유래한 것으로 보인다
919,오징어순대,오징어의 내장을 파내고 소를 채워서 쪄낸 요리
920,우동,?소바와 함께?일본의 전통적이고 가장 대중적인?면?요리
921,우동,이것의 맛은 이 굵직한 면발에서 나오는 쫄깃한 식감과 목넘김에서 나온다 해도 과언이 아니다
922,우동,굵직한 면발에서 나오는 쫄깃한 식감
923,우동,국물과 함께 면의 목넘김이 좋다
924,우동,다양한 맛이 있어요
925,우동,한국에선 대체로?휴게소?음식이라는 이미지가 강하다
926,우동,가격은 5천원선으로 저렴한 편이다
927,월남쌈,웰빙 열풍에 힘입어 샤브샤브와 함께 불티나게 유행했던 음식이고 지금도 웰빙 음식으로 인기있는 음식이다
928,월남쌈,베트남 요리에서 유래한 음식으로 한국에선 보통 베트남 쌀국수와 함께 베트남 음식의 대명사로 불리는 음식이다
929,월남쌈,"라이스페이퍼를 물에 넣었다 건져서 각종 채소, 양념, 고기, 국수를 싸서 소스에 찍어 먹는 음식이며, 취향에 따라 채소와 고기, 소스 등을 다양하게 첨가하여 즐길 수 있다"
930,월남쌈,다이어트에도 효과가 좋은 음식이다
931,월남쌈,자극적이지 않으면서 담백한 맛이 일품
932,월남쌈,신선한 야채와 먹으니 건강한 기분
933,월남쌈,베트남하면 쌀국수 다음으로 떠오르는 음식
934,월남쌈,전 세계 누구나 쉽게 접하고 즐기는 퓨전 베트남 요리이다
935,월남쌈,준비 과정도 비교적 간단하기 때문에 급하게 손님 접대를 해야 할 때 활용되기도 한다
936,월남쌈,"게맛살, 계란, 새싹채소 등을 넣어 먹기도 한다"
937,유산슬,자극적인 맛은 없고 다양한 재료가 함께 풍미를 내는 걸 볼 수 있다
938,유산슬,밥 위에 얹어서 유산슬밥이라는 이름으로 팔기도 한다
939,유산슬,유재석 말고 유산슬
940,유산슬,달큰 짭잘하면서 부드러운 식감
941,유산슬,중국 고급요리중 하나
942,유산슬,육류와 해산물 등 세 가지 재료를 채썰어서 국물을 넣고 녹말에 졸여낸 요리다
943,유산슬,중국요리 중 하나이다
944,유산슬,"주재료로 표고버섯, 해삼, 죽순, 팽이버섯, 새우, 돼지고기, 부추, 생강, 마늘 등이 들어가며, 소스로는 육수와 물, 녹말, 간장, 청주, 굴소스, 식용유, 후추, 참기름 등이다"
945,육회,전통 한식이며 한정식에 나오는 경우가 있다
946,육회,노른자의 은은한 담백함과 끈덕이는 촉감에 한 번 만족하고 그 코팅을 뚫고 느껴지는 고기의 맛이 또 각별하기 때문
947,육회,지역마다 양념에 들어가는 첨가물은 약간씩 다른데 잣이나 달걀노른자를 얹기도 한다
948,육회,"회 요리 중 하나로, 가늘게 채를 친 고기를 전혀 익히지 않고 설탕, 소금, 간장, 마늘, 참기름, 배즙 등으로 만든 양념에 버무려 만든다"
949,육회,담백하고 씹는맛이 좋다
950,육회,노른자와 먹으면 더 맛있다
951,육회,노른자에 코팅되는 맛은 또 다르다
952,육회,하지만 술안주로서 굉장히 높은 평가를 갖고 있으며 애주가들에게 선호되는 메뉴이다
953,육회,담백한 맛이 특징이며 다양한 소스들과 곁들여 먹는 경우에는 고소한 맛이 나는 경우가 많다
954,육회,서울 종로 광장시장에서 굉장히 유명한 메뉴이다
955,육회,소주 안주로도 인기가 많다.
956,육회,이때는 양념을 적당히 해줘야 계란 노른자의 특성에 지지 않는다
957,잔치국수,이 때문에 지역마다 편차가 있겠지만 대개 원 정도의 한 끼 식사치곤 저렴한 가격에 판매한다
958,잔치국수,삶은 국수 사리에 고명채볶은 소고기 제육 호박 당근 달걀지단 오이채등을 얹고 고기육수소 돼지 닭 꿩나 멸치장국을 부어내면 완성되는 간단한 음식이다
959,잔치국수,국물맛이 개운해요
960,잔치국수,오늘은 잔치여~
961,잔치국수,한국의 전통요리
962,잔치국수,결혼식 생일잔치 환갑잔치 등의 행사에서 국수 가락처럼 오래 잘 살라는 의미로 차려진다
963,잔치국수,한국의 국수 요리 중 하나이다
964,잔치국수,분식집에서도 많이 판다
965,잡채밥,먹을 때는 보통 잡채를 밥과 같이 섞어서 먹는다
966,잡채밥,"중국집에서도 판매하는 요리로 짜장면, 짬뽕만큼은 아니지만 어느 정도 수요가 있는 편이다"
967,잡채밥,다양한 재료로 다양한 맛을 느껴요
968,잡채밥,고추장에 비비면 더 맛있어요
969,잡채밥,가격은 8000원 정도에 형성이 되어 있으며 중국집에서 주로 소비가 되는 음식이다
970,잡채밥,잡채를 볶아서 밥에 얹어서 주는 한국 요리이다
971,잡채밥,"특히 경상도 지역에서는 짜장 소스가 거의 무조건 나오는 반면, 서울 등지에서는 잡채밥에 짜장소스가 곁들여진다는 것이 전혀 생소한 것이라는 차이가 있다"
972,장어구이,가격대는 비싼편이다
973,장어구이,생선을 한입에 먹기 좋게 잘라서 구워먹는 요리
974,장어구이,다 익은?생선을 소스에 찍어?쌈을 싸 먹는다
975,장어구이,보통 소금구이와?고추장·간장?양념 베이스 양념구이로 양분된다
976,장어구이,대표적인 스태미너에 좋은 음식으로 한국에서는 남자 정력에 좋다고 알려진 음식이다
977,장어구이,남자는 역시
978,장어구이,특유의 부드러운 고소함이 일품
979,장어구이,다양한 양념으로 먹을수 있어요
980,장어구이,몸보신을 위해 많이 먹기도 한다.
981,장어구이,소주와 어울리는 술안주로 유명한 음식이다
982,장어구이,보양식 중 하나인 요리이다.
983,장어구이,단백질이 풍부해서 건강에도 좋은 음식이다
984,전복죽,장염에 걸렸을 때 의사들이 흰죽과 전복죽을 주로 추천한다
985,전복죽,"부담 없는 맛과 전복의 씹히는 식감, 전복이란 식재료가 주는 보양식의 이미지가 삼위일체를 이뤄 죽을 고르는 사람들이 최우선적으로 고려하는 메뉴다"
986,전복죽,영양가가 높고 소화가 잘 되는 음식으로 알려져 있어 환자식으로도 이용된다
987,전복죽,먹고 기운 차리자
988,전복죽,아프지마요
989,전복죽,영양이 풍부하고 포만감을 줘요
990,전복죽,"전복의 가격대를 생각해 보면 상당히 고급 음식인 걸 알 수 있으며, 주로 환자들의 건강회복을 위해서 사오거나 만든다"
991,전복죽,전복이나 전복 내장을 넣어 쑨 한국의 죽 요리이다
992,제육볶음,보통의 남성들은 모두 좋아하는 음식이다.
993,제육볶음,돼지고기를?고추장?기반으로 만든 양념장을 넣고 볶아서 만든 음식
994,제육볶음,"보통은 대학가 근방, 회사 근처, 기사식당 등지처럼 유동인구가 많은 곳에서 자주 볼 수 있다"
995,제육볶음,직장인의 소울푸드
996,제육볶음,쌈 싸먹으면 진짜 맛있어요
997,제육볶음,돈까스와 함께 남자들에게 인기가 많은 음식이다.
998,제육볶음,"한식뷔페 중 저렴한 가격대로 승부하는 곳에서도 종종 볼 수 있고, 대부분의 사람이 몰려들어 퍼가는 모습이 나온다"
999,제육볶음,급식에서도 나오는 편인데 고기메뉴인 만큼 메뉴를 마음대로 고르기 어려운 학생들에게는 인기가 높은 편이다
1000,조개구이,보통 각종 조개를 석쇠 따위에 올려서 입을 벌릴 때까지 구운 뒤 초장 등의 양념에 찍어 먹는다
1001,조개구이,"이 때문에 조개구이가 유명한 곳으로는?오이도,?제부도가 손꼽힌다"
1002,조개구이,부드럽고 감칠맛이 풍부해요
1003,조개구이,바다보면서 먹어봐요
1004,조개구이,다양한 조개를 즐겨봐요
1005,조개구이,조개 특유의 진한 감칠맛을 잘 느낄 수 있는 요리
1006,조개구이,바닷가에서 많이 먹으며 소주와 궁합이 좋다
1007,족발,돼지의 다리를 양념한 국물에 푹 삶아내어 썰어낸 음식
1008,족발,배달음식으로도 많이 먹는다.
1009,족발,씹는 재미와 고기의 풍부한 맛이 좋다
1010,족발,다양한 버전의 요리가 있어요
1011,족발,야식으로 훌륭합니다
1012,족발,보통 보쌈과 함께 먹으며 대표적인 야식이다.
1013,족발,술 안주로 빠질 수 없는 음식이다.
1014,죽,"특히 장염에 걸린경우 죽만 먹는 경우가 많다,"
1015,죽,적당히 분쇄한 곡식 및 녹말을 함유한 식재료를 물과 함께 끓이기만 하면 됨
1016,죽,이것만 먹기 조금 허전하면 김치를 곁들여 먹어도 좋다
1017,죽,아프지마요
1018,죽,건강해야해
1019,죽,속이 안좋을때 드세요
1020,죽,"발치, 치아 교정, 치통 등 이빨과 관련된 질환이 있을 경우에 일반식을 섭취할 수가 없어서 식사 대용으로 먹는다"
1021,죽,평소에 주로 먹는 음식은 아니며 아프거나 할때 주로 먹는 음식이다
1022,죽,아플때 주로 먹는 음식이며 병문안을 갈때 주로 사가는 음식이기도 하다
1023,죽,몸상태가 안좋거나 아플때 환자가 주로 먹는다.
1024,죽,"영양이 걱정된다면 아예 야채나 해산물, 고기를 조금씩 다져서 넣어줘도 좋다"
1025,지리,"보통 파, 마늘, 무, 콩나물, 미나리 등 각종 채소를 넣어서 시원함을 추가하고 비린내를 잡는다"
1026,지리,잘 손질한 생선 토막을 넣고 청양고추와 간 마늘을 넣어 맵싸하게 끓여내는 지리탕과 횟감의 사시미와 두부가 보글보글 끓는 지리나베는 외견부터가 크게 차이가 난다
1027,지리,시원한 해물요리
1028,지리,다양한 해산물로 만들었어요
1029,지리,"대구,?광어?같은?흰살생선이 주로 쓰인다"
1030,지리,"생선?등의 음식을 조리할 때?매운탕과 대조되게 매운 양념을 넣지 않고 맑게 끓이는 조리 방식으로, '맑은탕'이라고도 한다"
1031,지리,주재료로는?복어나 명태(주로 생태를 많이 쓴다)
1032,짜장면,입맛이 없을때 군만두나 탕수육과 함께 먹기 좋다.
1033,짜장면,"중식이 한국식으로 변형 및 현지화된 요리로, 보면 알겠지만 현지화되는 과정에서 많이 달라진 음식이다"
1034,짜장면,졸업식과 이사한 날 많은 사람들이 먹는 음식이다. 
1035,짜장면,이사가는날 먹어요
1036,짜장면,중국집 대표메뉴
1037,짜장면,남녀노소 누구나 좋아하는 맛
1038,짜장면,"당구장, 졸업식, 만화카페, 입학식, 이삿날 먹는다 "
1039,짜장면,최고의 배달음식 
1040,짜장면,튀긴 춘장과 야채·고기를 식용유에 볶아서 만든 것을 면에 비벼 먹는 한국식 중화 요리이다
1041,짜장밥,그러나 볶음밥을 먹는 경우가 많으며 크게 선호되는 중국음식은 아니다
1042,짜장밥,자취를 하는 경우에 오뚜기 3분요리와 같은 기성제품으로 짜장밥을 해먹는 경우가 많다
1043,짜장밥,기본적으로 매운맛이 없고 단맛이 강하기 때문에 맨밥과 어울리지 않아 짜장면과 달리 짜장밥은 호불호가 제법 갈리는 편이다
1044,짜장밥,면이 질린다면 밥이랑 먹어요
1045,짜장밥,덮밥말고
1046,짜장밥,밥이랑 먹어도 맛있어요
1047,짜장밥,짜장 소스를 밥에다가 뿌려서 섞어먹는 음식
1048,짜장밥,가격도 그렇게 높게 형성이 되어 있지는 않다
1049,짬뽕,"국물을 많이 마시는 것은 그다지 권장되진 않는데, 식약청이 조사한 한국 외식 나트륨 함량 1위를 달성하기도 했다"
1050,짬뽕,"채소와 해산물, 육류 등을 볶아 육수로 끓여낸 얼큰한 국물에 국수를 넣어 만든 한국식 중화 요리의 일종"
1051,짬뽕,"원조 요리는 강한 화력에 재료를 볶아서 아삭한 맛과 불맛, 그리고 양질의 고춧가루를 듬뿍 넣은 얼큰한 닭육수의 맛이 강조"
1052,짬뽕,중국집에서 짜장면 다음 가는 인기 메뉴다
1053,짬뽕,짜장면의 라이벌
1054,짬뽕,얼큰한게 떙길때
1055,짬뽕,"제대로 탑 클래스의 식당에서 직접 육수를 뽑아 만든 짬뽕은 볶음밥처럼 요리사의 실력을 제대로 나타내지만, 보통은 짬뽕다시+기타 조미료로 제조하기 때문에 짜장면만큼이나 맛이 평준화된 상황이다"
1056,짬뽕,기준 1만 원 초중반대의 가격이다
1057,짬뽕,술안주로 먹는 경우가 많으며 밥이 있다면 성인 4~6명이 식사까지 가능한 메뉴
1058,짬뽕밥,사실상 일종의 국밥으로 짬뽕국밥이라 해도 무방
1059,짬뽕밥,면이 질린다면 밥말아 먹어요
1060,짬뽕밥,국밥이랑은 다르죠
1061,짬뽕밥,짬뽕에서 면을 뺀 짬뽕국물을 밥과 같이 먹는 요리
1062,쫄면,가격은 저렴한 편이다
1063,쫄면,"고명으로는 주로 삶은 달걀, 당근, 오이, 상추, 양배추 등이 주로 쓰이며 경우에 따라 콩나물도 추가된다"
1064,쫄면,"맛은 초고추장의 매운맛과 단맛, 신맛이 주를 이루며, 쫄깃한 면발과 생야채의 아삭한 식감으로 먹는 음식이다"
1065,쫄면,"단, 국물이 많은 음식과는 그다지 어울리지 않는 편이다"
1066,쫄면,분식집 단골 메뉴
1067,쫄면,쫄깃한 면을 느껴봐요
1068,쫄면,상큼하고 시원한 맛
1069,쫄면,냉면과 함께 여름철이 되면 자주 찾는 대표음식으로써 보통 냉쫄면이라고 하는 혼합된 음식을 먹거나 쫄면을 아주 차게 만들어서 먹는 방법도 있다
1070,쫄면,"또는 그 면발을 사용하여 채 썬 양배추, 콩나물, 당근, 오이 등의 간단한 채소를 넣고 초고추장을 베이스로 한 소스를 넣은 뒤 차게 해서 먹는 면요리"
1071,쫄면,굵고 탄성이 강한 면발
1072,찜닭,외국인들의 평이 좋은 한국 음식이기도 하다
1073,찜닭,"닭고기와 채소를 이용한 찜류의 요리로서, 경상북도 안동시에서 기원한 음식으로 알려져 있다"
1074,찜닭,"매운맛이 덜한 간장 양념을 써 달콤 짭쪼름하면서도 담백한 소스가 닭을 비롯한 모든 재료에 진하게 베어있고, 오랜 시간 강한 불에서 닭을 조리하였기 때문에 육질도 매우 부드럽다"
1075,찜닭,찌개들이나 반찬계통의 요리들처럼 밥도둑으로 꼽히기 때문에 찜닭 양념을 가지고 밥을 비벼먹는 사람들도 많다
1076,찜닭,닭고기에 다양한 채소를 비롯해 당면이 들어가는데다가 남은 국물에 밥을 비벼먹을 수도 있기 때문에 닭 한 마리로 하는 요리 치고는 푸짐한 양을 자랑하는 음식이다
1077,찜닭,"현재의 단맛이 강한 것은 서울 사람의 입맛에 맞춰 변형된 것으로, 안동 찜닭골목 본 고장에서 먹어보면 상당히 매콤한 편이다"
1078,차돌박이,기름지고 질기기 때문에 풍미와 식감을 위해 얇게 썰어서 판매하는 경우가 대부분이며 얇게 썰어 말아놓은 모습을 보면 대개 반은 하얗고 반은 빨갛다
1079,차돌박이,양지 부위의 일종으로 그 중에서도 기름기가 많은 부위
1080,차돌박이,구워먹는 경우가 많으며 가격은 비싼 편에 속한다
1081,차돌박이,된장찌개로 먹는 경우도 많으며 주로 소비되는 소고기의 부위는 아니다
1082,차돌박이,기름기가 많아 많이 먹는 부위는 아니며 1~2인분정도 시켜서 나눠 먹는 경우가 많다
1083,참치회,"이것의 최고급 횟감으로는?참다랑어, 대서양참다랑어, 남방참다랑어(마구로), 고급 횟감으로는?눈다랑어,?황새치(특히 뱃살부위인 메카도로)를 쓰며 중급 횟감으로는?황다랑어,?청새치를 쓰고 저급 횟감으로는 날개다랑어, 백다랑어,?백새치,?흑새치,?녹새치,?돛새치를 사용한다"
1084,참치회,특별한 날에 먹기 좋다.
1085,참치회,"본래?참다랑어의 회를 의미하는 단어지만?눈다랑어,?황다랑어?등 근연종의 회도 이것의 범주에 넣는다"
1086,참치회,"회라는 음식 자체가 대체로 비싼 편인데, 그 중에서도 최고급 축에 속하는 매우 비싼 음식이다"
1087,참치회,고급 음식으로 누군가를 대접하거나 손님에게 대접할때 좋은 요리이다.
1088,청국장,흰쌀밥도 좋지만?보리밥이 제일로 평가 받는다
1089,청국장,영양학적으로 이것은 일반 콩보다 훨씬 더 소화하기 쉽다는 장점이 있다
1090,청국장,풍미(냄새)가 매우 강한?콩 발효?찌개이다
1091,청국장,구수한 음식이 먹고 싶을 때
1092,청국장,내가 지금 한식 중에 찌개가 땡긴다 그럼 이거죠
1093,청국장,어린이들은 이맛 모를수도
1094,청국장,"콩을 쪄서 항아리에 짚을 깔아 그 위에 넣고 발효시킨 콩을 담가서?만든?장, 그리고 이 장을 다른 채소와 함께 끓인?찌개?요리"
1095,청국장,"재료: 청국장, 신 김치, 다진 야채(취향에 따라 애호박, 고추, 대파, 마늘, 팽이버섯 등등), 두부, 국간장"
1096,청국장,밥을 넣어 말아먹기보다는 보편적으로 국을 한 술 떠서 밥에 슥슥 비벼 먹는다
1097,청국장,다른 발효식품들과 달리?대변?냄새나?발냄새와 비슷해 거의 모든 사람들이 불쾌하게 느낀다
1098,초밥,미슐랭 가이드 별 장식을 한 오마카세 초밥집들이 즐비할 정도로
1099,초밥,"초밥 또는 스시는 일본 요리의 하나로, 어패류(수산물)의 살이나 유부·달걀·김 등의 식재료를 배합초에 절인 쌀밥 위에 올려서 만드는 음식이다"
1100,초밥,이런 이미지가 세계적으로 널리 퍼지면서 해외에서 초밥은 고급 일본 요리의 대표주자가 되었다
1101,초밥,일식하면 당연히 이 음식 
1102,초밥,오늘 프레쉬한게 땡긴다? 난 이거 먹을래
1103,초밥,"회전초밥, 오마카세, 일식당 난 다 좋아!"
1104,초밥,"한국의 초밥은 거의 일명 오마카세 초밥처럼 고급화 위주로 들어왔기 때문에 상대적으로 최저 8만 원에서 평균 15만 원으로 비싼 편이고, 대중 초밥은 평균 1만 원대에서 비싸면 2만 원대지만, 일본보다 생선 종류가 적고 일본의 일반 서민 대상 초밥은 가성비도 괜찮지만 한국보다 종류도 많고 가격도 오히려 저렴한 곳도 많다"
1105,초밥,회나 우니 해산물을 초대리를 한 밥에 얹어서 나오는 경우가 대부분이며 일본의 대표적인 요리이다
1106,초밥,국내의 회전초밥집은 저렴한 가격을 바탕으로해서 판매 하기도 하며 퀄리티보다는 가성비에 중점을 두었다
1107,초밥,점심메뉴로 무난하게 먹기 좋다.
1108,초밥,그러나 오마카세와 같은 비싼 곳에서 초밥의 진짜 맛을 느낄 수 있다
1109,추어탕,"한국 요리의 하나로, 미꾸라지 혹은 미꾸리를 넣어 끓이는 국물 요리이다"
1110,추어탕,미꾸라지는 가을에 가장 맛있기 때문에 이것도 가을에 제맛이라고 한다
1111,추어탕,호불호가 갈리는 음식 중 하나로 꼽힌다
1112,추어탕,"외국인이 먹기는 힘들고, 한국인들 중에도 못 먹거나 안 먹는 사람이 은근히 있다"
1113,추어탕,추운 겨울에 추어탕 한 그릇은 캬~
1114,추어탕,구수하고 고소한 맛이 특징
1115,추어탕,보양식 중 하나인 요리이다.
1116,추어탕,하지만 비린내를 잘 잡는 식당이라면 처음먹어도 구수하고 시원한 맛만 나서 생각보다 초심자에게도 거부감이 적다
1117,추어탕,다만 비린내가 없는 집에 가면 맛있는 맛을 느낄 수 있다
1118,추어탕,가격은 8000원 정도에 형성이 되어있으며 비린내가 있는 경우가 많아 호불호가 심한 음식 중 하나이다
1119,충무김밥,"1인분에 6,000~6,500원선인데 딸랑 꼬마김밥 8개 남짓 나온다"
1120,충무김밥,"누구나 고속도로 휴게소 등에서 한 번쯤 들어 보았고 접해 보았을 만큼 유명한 고장 명물이고, 아무 맛이 없는 김밥에 섞박지와 오징어무침을 곁들이는 조합은 분명 독특한 중독성이 있다"
1121,충무김밥,고속도로 휴게소 가면 간식으로 좋죠
1122,충무김밥,밥에다 김 싸서 오징어 볶음이나 깍두기에 같이 먹는 '간편식'?이다
1123,충무김밥,"손가락 굵기의 아무 속 없는 김밥과?깍두기, 정확히는 '섞박지'라 부르는, 깍두기보다 더 큼직하고 납작하게 썰어서 한입에 넣는 게 아니라 여러번 베어먹도록 만든 무김치와?오징어?어묵 볶음, 또는 무침이라는 매우 간단한 구성을 자랑한다"
1124,충무김밥,통영시의 옛 지명이었던?충무시에서 유래한?김밥의 한 종류
1125,치킨,맥주나 콜라와 매우 궁합이 좋으며 배달음식으로 제격이다
1126,치킨,야식의 대명사로 축구나 야구 경기를 관람할때 인기가 많다.
1127,치킨,야식 베스트 메뉴! 반박불가
1128,치킨,치밥으로 먹어도 너무 맛있어요.
1129,치킨,스포츠 경기 볼땐 치맥이 딱이죠
1130,치킨,어제 먹었는데 오늘 또 먹고싶다.
1131,치킨,"닭튀김의 일종으로, 토막난 닭고기에 양념을 한 뒤 밀가루나 전분 등을 묻히고 끓는 기름에 튀긴 요리이다"
1132,치킨,"한국에서는 피자, 햄버거 등 다른 패스트푸드보다 압도적으로 인기가 많으며, 라면처럼 야식으로도 널리 사랑받고 있다"
1133,치킨가스,카레를 혼합해 먹을 수 있기도 한다
1134,치킨가스,토마토 소스를 얹고 모짜렐라 치즈와 파마산 치즈를 뿌리면 치킨 파마산이라는 요리가 된다
1135,치킨가스,재료는 닭다리살이나 닭가슴살 등이 사용된다
1136,치킨가스,기름지고 담백한 맛이 일품
1137,치킨가스,어린아이들이 참 좋아하죠
1138,치킨가스,메뉴에는 치킨가스라는 이름으로 올라와있지만 치킨텐더와 큰 차이를 느끼기 어려운 경우도 있다
1139,치킨가스,보통 돈가스와 생선튀김을 세트로 포함하여 육해공 커틀렛 세트를 이루기도 한다
1140,치킨가스,돈가스의 닭고기 버전으로 돼지고기가 아닌 닭고기살을 저며서 빵가루 옷을 입히고 튀겨낸 음식이다
1141,카레,"그 외에 필수 기본 재료로는 고기와 감자, 양파와 당근이다"
1142,카레,"만들때 고기를 다양하게 넣을 수도 있다(예 돼지고기, 닭고기 혹은 닭가슴살, 소고기 등등)"
1143,카레,여기에 돈까스나 치킨 등 고기 토핑을 올릴 수도 있다
1144,카레,집에서 대량으로 만들어 며칠씩 먹는 경우가 많다
1145,카레,실제로 급식이나 오뚜기 3분요리 같이 둘을 주력으로 취급하는 경우도 많다
1146,카레,가루를 베이스로 양념을 만들어 밥 위에 얹어 먹는다
1147,카레,인도 요리의 대표적인 소스 또는 스튜이자 음식이다
1148,카레,인도 음식인 커리가 영국을 거쳐 개화기 일본에 유입되어 밥 위에 이것을 끼얹어 먹는 요리로 발전한 일본풍 양식
1149,칼국수,한국의 국수 중 하나 
1150,칼국수,고추장 풀어서 먹으면 더 맛있다고 한 적이 있다
1151,칼국수,서울에서는 쇠고기 고명과 육수를 사용하며 좀 더 고급스럽게는 사골 육수로 국물을 내기도 한다
1152,칼국수,추울때 강력하게 땡기는 음식 겨울엔 이 음식 먹어야죠
1153,칼국수,바닷가 가면 조개 가득넣은 칼국수 먹고가야죠
1154,칼국수,면요리가 땡긴다면 이 음식만한게 없습니다.
1155,칼국수,충청도에서는 디포리와 사골 육수를 배합하는 것이 정석 
1156,칼국수,밖에서 파는 칼국수는 국물이 걸쭉하다
1157,칼국수,주로 해산물을 넣은 전라도식 칼국수는 면을 두껍게 썰고 경기도식 사골 국물 닭고기 국물인 경우는 면을 얇게 써는 편 
1158,칼국수,현대의 요리는 모두 우려낸 국물에 면을 끓인다 
1159,칼국수,해장하기 좋은 음식이다.
1160,칼국수,냉동된 상태로 면 고명을 함께 제공하는 칼국수 제품도 있다
1161,커리,한국에 전래되면서 일본식 이름인 카레가 되었고 현지화 음식인 카레라이스가 되었다
1162,커리,인도 요리의 대표적인 소스 또는 스튜이자 음식이다
1163,커리,"한국에서는 감자, 당근, 양파 등 다양한 채소가 들어가며 시중에서 구입해 간단하게 먹을 수 있는 요리 중 하나이다"
1164,커리,우동면을 넣어 카레우동을 먹을 수도 있다
1165,커리,김치와 궁합이 굉장히 좋다
1166,커리,"밥과 함께 먹거나, 카레를 밥에 비벼서 먹거나, 돈까스에 커리를 끼얹은 카레돈까스나 계란 프라이 등과 함께 먹기도 한다"
1167,코다리,반건조 생선+명태 특유의 식감 때문에 은근 호불호를 탄다
1168,코다리,전문점도 있다
1169,코다리,이것을 넣은 냉면이란 것도 있는데?비빔냉면에 양념된 이것을 올린 음식이다
1170,코다리,"이것을 이용한 음식종류로는 냉면, 조림, 강정이 있다"
1171,코다리,보통 양념을 곁들여 요리해 먹는다
1172,코다리,반쯤 말린 것
1173,콩국수,가격도 그리 높게 형성이 되어있는 편이 아니며 여름에 서민들이 주로 먹는 음식에 속한다
1174,콩국수,"콩물 맛이 무척이나 진해지고, 굳이 우유를 타지 않아도 고소해서 먹기가 정말 좋다"
1175,콩국수,"가끔 드물게 토마토, 수박 같은 것을 올리는 업소도 있다"
1176,콩국수,"토핑 및 첨가물로는 소금간과 오이채, 삶은 계란, 볶은 참깨 정도가 보편적이다"
1177,콩국수,더워 죽을 것 같은 여름날 먹기 좋다.
1178,콩국수,얼음 동동띄운 콩국물을 한그릇 마시면 끝납니다.
1179,콩국수,새참으로도 참 좋은 음식
1180,콩국수,차가운 면요리 특성상 여름 한정상품인 경우가 많다
1181,콩국수,"오늘날에는 주로 국숫집, 중국집, 분식집 등 면을 파는 곳에서 콩국수를 맛볼 수 있다"
1182,콩국수,콩을 갈아 내는 콩물 특유의 고소한 맛이 난다
1183,콩국수,면은 평범한 밀가루 면을 사용했지만 국물을 콩물로 만든 국수이다
